x,y,z
7.578063607215881348e-01,-6.884399335831403732e-03,1.972276306152343750e+01
7.580008506774902344e-01,-6.882152985781431198e-03,1.972262382507324219e+01
7.581954002380371094e-01,-6.879906635731458664e-03,1.972248268127441406e+01
7.583898901939392090e-01,-6.877659820020198822e-03,1.972234344482421875e+01
7.585844397544860840e-01,-6.875413004308938980e-03,1.972220230102539062e+01
7.587789297103881836e-01,-6.873165722936391830e-03,1.972206306457519531e+01
7.589734792709350586e-01,-6.870917975902557373e-03,1.972192192077636719e+01
7.591679692268371582e-01,-6.868670228868722916e-03,1.972178268432617188e+01
7.593625187873840332e-01,-6.866422016173601151e-03,1.972164154052734375e+01
7.595570683479309082e-01,-6.864173337817192078e-03,1.972150230407714844e+01
7.597516179084777832e-01,-6.861924659460783005e-03,1.972136116027832031e+01
7.599461078643798828e-01,-6.859675515443086624e-03,1.972122192382812500e+01
7.601406574249267578e-01,-6.857425905764102936e-03,1.972108078002929688e+01
7.603352069854736328e-01,-6.855176296085119247e-03,1.972094154357910156e+01
7.605297565460205078e-01,-6.852926220744848251e-03,1.972080039978027344e+01
7.607243061065673828e-01,-6.850676145404577255e-03,1.972065925598144531e+01
7.609188556671142578e-01,-6.848425604403018951e-03,1.972052001953125000e+01
7.611134648323059082e-01,-6.846174597740173340e-03,1.972037887573242188e+01
7.613080143928527832e-01,-6.843923591077327728e-03,1.972023773193359375e+01
7.615025639533996582e-01,-6.841672118753194809e-03,1.972009849548339844e+01
7.616971135139465332e-01,-6.839420180767774582e-03,1.971995735168457031e+01
7.618917226791381836e-01,-6.837168242782354355e-03,1.971981620788574219e+01
7.620862722396850586e-01,-6.834915839135646820e-03,1.971967506408691406e+01
7.622808814048767090e-01,-6.832662969827651978e-03,1.971953582763671875e+01
7.624754309654235840e-01,-6.830410100519657135e-03,1.971939468383789062e+01
7.626700401306152344e-01,-6.828156765550374985e-03,1.971925354003906250e+01
7.628645896911621094e-01,-6.825902964919805527e-03,1.971911239624023438e+01
7.630591988563537598e-01,-6.823649164289236069e-03,1.971897315979003906e+01
7.632538080215454102e-01,-6.821394897997379303e-03,1.971883201599121094e+01
7.634484171867370605e-01,-6.819140631705522537e-03,1.971869087219238281e+01
7.636430263519287109e-01,-6.816885899752378464e-03,1.971854972839355469e+01
7.638376355171203613e-01,-6.814630702137947083e-03,1.971840858459472656e+01
7.640321850776672363e-01,-6.812375504523515701e-03,1.971826744079589844e+01
7.642267942428588867e-01,-6.810119841247797012e-03,1.971812820434570312e+01
7.644214630126953125e-01,-6.807863712310791016e-03,1.971798706054687500e+01
7.646160721778869629e-01,-6.805607583373785019e-03,1.971784591674804688e+01
7.648106813430786133e-01,-6.803350988775491714e-03,1.971770477294921875e+01
7.650052905082702637e-01,-6.801094394177198410e-03,1.971756362915039062e+01
7.651998996734619141e-01,-6.798837333917617798e-03,1.971742248535156250e+01
7.653945684432983398e-01,-6.796579807996749878e-03,1.971728134155273438e+01
7.655891776084899902e-01,-6.794321816414594650e-03,1.971714019775390625e+01
7.657838463783264160e-01,-6.792063824832439423e-03,1.971699905395507812e+01
7.659784555435180664e-01,-6.789805833250284195e-03,1.971685791015625000e+01
7.661731243133544922e-01,-6.787546910345554352e-03,1.971671676635742188e+01
7.663677334785461426e-01,-6.785287987440824509e-03,1.971657562255859375e+01
7.665624022483825684e-01,-6.783029064536094666e-03,1.971643447875976562e+01
7.667570710182189941e-01,-6.780769675970077515e-03,1.971629333496093750e+01
7.669516801834106445e-01,-6.778509821742773056e-03,1.971615219116210938e+01
7.671463489532470703e-01,-6.776249501854181290e-03,1.971601104736328125e+01
7.673410177230834961e-01,-6.773989181965589523e-03,1.971586990356445312e+01
7.675356864929199219e-01,-6.771728396415710449e-03,1.971572875976562500e+01
7.677303552627563477e-01,-6.769467610865831375e-03,1.971558761596679688e+01
7.679250240325927734e-01,-6.767206359654664993e-03,1.971544456481933594e+01
7.681196928024291992e-01,-6.764944642782211304e-03,1.971530342102050781e+01
7.683143615722656250e-01,-6.762682925909757614e-03,1.971516227722167969e+01
7.685090303421020508e-01,-6.760420743376016617e-03,1.971502113342285156e+01
7.687037587165832520e-01,-6.758158095180988312e-03,1.971487998962402344e+01
7.688984274864196777e-01,-6.755895446985960007e-03,1.971473884582519531e+01
7.690930962562561035e-01,-6.753632333129644394e-03,1.971459579467773438e+01
7.692878246307373047e-01,-6.751369219273328781e-03,1.971445465087890625e+01
7.694824934005737305e-01,-6.749105639755725861e-03,1.971431350708007812e+01
7.696772217750549316e-01,-6.746841594576835632e-03,1.971417236328125000e+01
7.698718905448913574e-01,-6.744577549397945404e-03,1.971403121948242188e+01
7.700666189193725586e-01,-6.742313038557767868e-03,1.971388816833496094e+01
7.702613472938537598e-01,-6.740048062056303024e-03,1.971374702453613281e+01
7.704560160636901855e-01,-6.737783085554838181e-03,1.971360588073730469e+01
7.706507444381713867e-01,-6.735517643392086029e-03,1.971346282958984375e+01
7.708454728126525879e-01,-6.733251735568046570e-03,1.971332168579101562e+01
7.710402011871337891e-01,-6.730985827744007111e-03,1.971318054199218750e+01
7.712349295616149902e-01,-6.728719454258680344e-03,1.971303749084472656e+01
7.714296579360961914e-01,-6.726453080773353577e-03,1.971289634704589844e+01
7.716243863105773926e-01,-6.724186241626739502e-03,1.971275520324707031e+01
7.718191146850585938e-01,-6.721918936818838120e-03,1.971261215209960938e+01
7.720138430595397949e-01,-6.719651632010936737e-03,1.971247100830078125e+01
7.722086310386657715e-01,-6.717383861541748047e-03,1.971232986450195312e+01
7.724033594131469727e-01,-6.715115625411272049e-03,1.971218681335449219e+01
7.725980877876281738e-01,-6.712847389280796051e-03,1.971204566955566406e+01
7.727928757667541504e-01,-6.710578687489032745e-03,1.971190261840820312e+01
7.729876041412353516e-01,-6.708309985697269440e-03,1.971176147460937500e+01
7.731823921203613281e-01,-6.706040352582931519e-03,1.971161842346191406e+01
7.733771204948425293e-01,-6.703771185129880905e-03,1.971147727966308594e+01
7.735719084739685059e-01,-6.701501086354255676e-03,1.971133422851562500e+01
7.737666368484497070e-01,-6.699230987578630447e-03,1.971119308471679688e+01
7.739614248275756836e-01,-6.696960423141717911e-03,1.971105003356933594e+01
7.741562128067016602e-01,-6.694689858704805374e-03,1.971090888977050781e+01
7.743510007858276367e-01,-6.692418828606605530e-03,1.971076583862304688e+01
7.745457887649536133e-01,-6.690147798508405685e-03,1.971062469482421875e+01
7.747405767440795898e-01,-6.687875837087631226e-03,1.971048164367675781e+01
7.749353647232055664e-01,-6.685603875666856766e-03,1.971034049987792969e+01
7.751301527023315430e-01,-6.683331914246082306e-03,1.971019744873046875e+01
7.753249406814575195e-01,-6.681059487164020538e-03,1.971005439758300781e+01
7.755197286605834961e-01,-6.678786594420671463e-03,1.970991325378417969e+01
7.757145166397094727e-01,-6.676513701677322388e-03,1.970977020263671875e+01
7.759093046188354492e-01,-6.674240343272686005e-03,1.970962715148925781e+01
7.761041522026062012e-01,-6.671966519206762314e-03,1.970948600769042969e+01
7.762989401817321777e-01,-6.669692695140838623e-03,1.970934295654296875e+01
7.764937877655029297e-01,-6.667418405413627625e-03,1.970919990539550781e+01
7.766885757446289062e-01,-6.665143650025129318e-03,1.970905876159667969e+01
7.768834233283996582e-01,-6.662868894636631012e-03,1.970891571044921875e+01
7.770782113075256348e-01,-6.660593673586845398e-03,1.970877265930175781e+01
7.772730588912963867e-01,-6.658317986875772476e-03,1.970863151550292969e+01
7.774679064750671387e-01,-6.656042300164699554e-03,1.970848846435546875e+01
7.776627540588378906e-01,-6.653766613453626633e-03,1.970834541320800781e+01
7.778575420379638672e-01,-6.651489995419979095e-03,1.970820236206054688e+01
7.780523896217346191e-01,-6.649213377386331558e-03,1.970806121826171875e+01
